id,member_id,post_id,content,parent_id,like_count,created_at,updated_at,deleted_at
35,30,42,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-31T07:53:52.624931Z,,
36,15,53,I totally agree with this!,,0,2026-01-28T02:47:52.624946Z,,
37,46,49,"Sounds interesting, I want to try this.",,0,2026-01-18T21:46:52.624961Z,,
38,3,17,저도 궁금했는데 감사합니다!,,0,2026-02-04T12:11:52.624976Z,,
39,34,59,I totally agree with this!,,0,2026-02-03T12:22:52.624991Z,,
40,42,20,저도 비슷하게 느꼈어요.,,0,2026-01-23T17:56:52.625007Z,,
41,40,51,저도 비슷하게 느꼈어요.,,0,2026-01-28T04:23:52.625021Z,,
42,35,49,저도 궁금했는데 감사합니다!,,0,2026-01-18T03:21:52.625033Z,,
43,49,63,I totally agree with this!,,0,2026-01-20T00:02:52.625046Z,,
44,41,37,이거 진짜 공감돼요 ㅋㅋ,,0,2026-02-05T13:11:52.625059Z,,
45,49,13,다음에 같이 가요!,,0,2026-02-02T03:58:52.625072Z,,
46,2,6,저도 궁금했는데 감사합니다!,,0,2026-02-06T16:55:52.625084Z,,
47,24,56,"Thanks for sharing, this helps a lot.",,0,2026-01-31T09:51:52.625097Z,,
48,37,24,"Thanks for sharing, this helps a lot.",,0,2026-02-02T23:38:52.625110Z,,
49,25,80,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-23T08:08:52.625126Z,,
50,15,60,I had the same question before.,,0,2026-01-24T17:35:52.625138Z,,
51,1,60,I had the same question before.,,0,2026-01-21T21:13:52.625151Z,,
52,29,45,I had the same question before.,,0,2026-01-18T12:33:52.625163Z,,
53,17,59,I had the same question before.,,0,2026-02-01T13:23:52.625177Z,,
54,31,14,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-26T07:55:52.625191Z,,
55,37,38,I had the same question before.,,0,2026-02-07T04:52:52.625203Z,,
56,18,2,I totally agree with this!,,0,2026-01-19T02:46:52.625216Z,,
57,19,30,저도 궁금했는데 감사합니다!,,0,2026-01-31T06:05:52.625230Z,,
58,40,33,"Thanks for sharing, this helps a lot.",,0,2026-01-18T22:20:52.625243Z,,
59,41,6,I had the same question before.,,0,2026-01-25T00:40:52.625256Z,,
60,24,17,저도 비슷하게 느꼈어요.,,0,2026-01-29T15:30:52.625269Z,,
61,27,23,이거 진짜 공감돼요 ㅋㅋ,,0,2026-02-03T08:21:52.625282Z,,
62,24,68,I had the same question before.,,0,2026-02-02T17:19:52.625295Z,,
63,31,38,저도 궁금했는데 감사합니다!,,0,2026-02-04T12:13:52.625309Z,,
64,10,29,"Sounds interesting, I want to try this.",,0,2026-01-21T15:12:52.625322Z,,
65,26,2,I had the same question before.,,0,2026-01-21T22:48:52.625336Z,,
66,24,34,"Sounds interesting, I want to try this.",,0,2026-01-18T15:11:52.625349Z,,
67,44,30,다음에 같이 가요!,,0,2026-02-07T06:21:52.625362Z,,
68,36,42,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-18T23:37:52.625375Z,,
69,30,39,"Sounds interesting, I want to try this.",,0,2026-02-04T22:15:52.625387Z,,
70,3,39,다음에 같이 가요!,,0,2026-02-04T23:02:52.625400Z,,
71,35,18,"Sounds interesting, I want to try this.",,0,2026-01-24T14:35:52.625413Z,,
72,48,70,"Sounds interesting, I want to try this.",,0,2026-01-20T02:31:52.625426Z,,
73,10,54,저도 비슷하게 느꼈어요.,,0,2026-01-23T06:51:52.625438Z,,
74,18,5,저도 궁금했는데 감사합니다!,,0,2026-02-01T11:49:52.625451Z,,
75,16,47,저도 비슷하게 느꼈어요.,,0,2026-01-27T08:20:52.625463Z,,
76,42,46,I totally agree with this!,,0,2026-01-26T18:05:52.625495Z,,
77,8,59,저도 비슷하게 느꼈어요.,,0,2026-02-01T05:37:52.625514Z,,
78,39,3,I totally agree with this!,,0,2026-01-28T19:09:52.625525Z,,
79,37,27,저도 비슷하게 느꼈어요.,,0,2026-01-21T19:40:52.625536Z,,
80,14,30,저도 궁금했는데 감사합니다!,,0,2026-02-03T07:17:52.625547Z,,
81,18,19,"Thanks for sharing, this helps a lot.",,0,2026-01-21T17:26:52.625559Z,,
82,12,15,I totally agree with this!,,0,2026-02-04T01:55:52.625570Z,,
83,16,76,저도 궁금했는데 감사합니다!,,0,2026-02-07T21:01:52.625581Z,,
84,4,17,"Sounds interesting, I want to try this.",,0,2026-01-22T22:30:52.625592Z,,
85,5,61,다음에 같이 가요!,,0,2026-01-27T09:40:52.625603Z,,
86,7,58,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-20T00:31:52.625613Z,,
87,43,67,I had the same question before.,,0,2026-01-24T06:16:52.625625Z,,
88,4,62,"Sounds interesting, I want to try this.",,0,2026-01-25T05:11:52.625637Z,,
89,32,57,저도 비슷하게 느꼈어요.,,0,2026-02-05T15:39:52.625648Z,,
90,10,9,"Thanks for sharing, this helps a lot.",,0,2026-01-30T06:37:52.625659Z,,
91,38,71,저도 궁금했는데 감사합니다!,,0,2026-01-26T06:44:52.625670Z,,
92,19,59,"Sounds interesting, I want to try this.",,0,2026-02-04T04:10:52.625681Z,,
93,42,71,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-25T11:21:52.625694Z,,
94,15,53,저도 궁금했는데 감사합니다!,,0,2026-01-24T13:51:52.625705Z,,
95,47,13,저도 궁금했는데 감사합니다!,,0,2026-01-25T15:35:52.625715Z,,
96,17,48,"Thanks for sharing, this helps a lot.",,0,2026-01-24T00:12:52.625727Z,,
97,6,12,"Sounds interesting, I want to try this.",,0,2026-02-04T02:30:52.625738Z,,
98,24,17,I totally agree with this!,,0,2026-01-20T08:42:52.625749Z,,
99,22,16,"Sounds interesting, I want to try this.",,0,2026-01-27T04:29:52.625760Z,,
100,28,7,I had the same question before.,,0,2026-01-19T16:55:52.625772Z,,
101,7,74,이거 진짜 공감돼요 ㅋㅋ,,0,2026-02-03T04:47:52.625785Z,,
102,15,14,저도 궁금했는데 감사합니다!,,0,2026-01-21T15:10:52.625797Z,,
103,49,36,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-25T08:28:52.625808Z,,
104,40,79,I totally agree with this!,,0,2026-01-19T04:24:52.625819Z,,
105,45,35,I totally agree with this!,,0,2026-02-02T17:33:52.625829Z,,
106,49,40,저도 궁금했는데 감사합니다!,,0,2026-01-28T02:06:52.625840Z,,
107,10,73,"Sounds interesting, I want to try this.",,0,2026-02-05T21:30:52.626126Z,,
108,41,4,저도 비슷하게 느꼈어요.,,0,2026-01-22T19:53:52.626149Z,,
109,27,59,저도 궁금했는데 감사합니다!,,0,2026-02-02T14:58:52.626162Z,,
110,47,42,저도 비슷하게 느꼈어요.,,0,2026-02-06T22:07:52.626228Z,,
111,49,80,I totally agree with this!,,0,2026-02-05T17:49:52.626243Z,,
112,43,55,다음에 같이 가요!,,0,2026-01-19T11:51:52.626255Z,,
113,18,28,저도 비슷하게 느꼈어요.,,0,2026-01-27T13:10:52.626267Z,,
114,19,76,다음에 같이 가요!,,0,2026-01-22T04:58:52.626278Z,,
115,3,29,"Sounds interesting, I want to try this.",,0,2026-01-20T01:17:52.626290Z,,
116,14,39,이거 진짜 공감돼요 ㅋㅋ,,0,2026-02-03T17:59:52.626301Z,,
117,21,16,I totally agree with this!,,0,2026-01-23T02:50:52.626313Z,,
118,12,17,"Sounds interesting, I want to try this.",,0,2026-01-21T04:03:52.626324Z,,
119,33,72,저도 궁금했는데 감사합니다!,,0,2026-02-05T13:22:52.626335Z,,
120,48,6,"Sounds interesting, I want to try this.",,0,2026-02-07T11:19:52.626346Z,,
121,5,41,"Sounds interesting, I want to try this.",,0,2026-01-20T13:32:52.626358Z,,
122,41,54,I had the same question before.,,0,2026-02-04T14:16:52.626369Z,,
123,21,22,다음에 같이 가요!,,0,2026-01-27T23:50:52.626379Z,,
124,7,32,"Sounds interesting, I want to try this.",,0,2026-01-20T13:44:52.626390Z,,
125,6,51,I had the same question before.,,0,2026-01-28T18:56:52.626401Z,,
126,50,22,저도 비슷하게 느꼈어요.,,0,2026-01-22T06:10:52.626412Z,,
127,34,66,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-27T14:31:52.626422Z,,
128,42,19,이거 진짜 공감돼요 ㅋㅋ,,0,2026-02-04T22:01:52.626433Z,,
129,13,23,"Thanks for sharing, this helps a lot.",,0,2026-01-19T00:06:52.626443Z,,
130,50,64,다음에 같이 가요!,,0,2026-01-20T07:49:52.626454Z,,
131,44,73,저도 궁금했는데 감사합니다!,,0,2026-01-18T16:08:52.626465Z,,
132,29,9,다음에 같이 가요!,,0,2026-01-24T05:58:52.626509Z,,
133,18,76,I totally agree with this!,,0,2026-01-27T10:13:52.626528Z,,
134,20,60,다음에 같이 가요!,,0,2026-02-07T00:54:52.626540Z,,
135,19,10,저도 비슷하게 느꼈어요.,,0,2026-01-19T06:45:52.626567Z,,
136,25,60,I totally agree with this!,,0,2026-01-24T07:36:52.626598Z,,
137,13,42,다음에 같이 가요!,,0,2026-01-22T22:14:52.626612Z,,
138,29,14,저도 궁금했는데 감사합니다!,,0,2026-02-05T09:36:52.626625Z,,
139,12,6,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-24T11:44:52.626637Z,,
140,34,79,"Thanks for sharing, this helps a lot.",,0,2026-01-27T14:19:52.626649Z,,
141,19,50,"Sounds interesting, I want to try this.",,0,2026-01-28T04:39:52.626661Z,,
142,4,43,저도 비슷하게 느꼈어요.,,0,2026-01-28T22:42:52.626672Z,,
143,44,50,I had the same question before.,,0,2026-01-30T02:23:52.626682Z,,
144,43,78,"Thanks for sharing, this helps a lot.",,0,2026-01-28T23:40:52.626692Z,,
145,43,19,저도 궁금했는데 감사합니다!,,0,2026-01-29T05:33:52.626701Z,,
146,43,51,"Thanks for sharing, this helps a lot.",,0,2026-01-19T04:12:52.626712Z,,
147,20,72,"Sounds interesting, I want to try this.",,0,2026-01-18T15:25:52.626722Z,,
148,9,68,저도 비슷하게 느꼈어요.,,0,2026-01-18T04:50:52.626733Z,,
149,33,47,I totally agree with this!,,0,2026-01-27T17:06:52.626743Z,,
150,14,44,다음에 같이 가요!,,0,2026-02-01T19:09:52.626753Z,,
151,10,10,I had the same question before.,,0,2026-02-04T09:28:52.626763Z,,
152,35,68,I totally agree with this!,,0,2026-01-28T07:09:52.626803Z,,
153,39,49,"Thanks for sharing, this helps a lot.",,0,2026-02-02T20:24:52.626822Z,,
154,45,80,"Thanks for sharing, this helps a lot.",,0,2026-01-25T00:51:52.626892Z,,
155,24,31,다음에 같이 가요!,,0,2026-01-19T16:29:52.626911Z,,
156,48,58,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-21T18:58:52.626923Z,,
157,31,25,저도 궁금했는데 감사합니다!,,0,2026-01-20T11:48:52.626934Z,,
158,50,37,"Sounds interesting, I want to try this.",,0,2026-01-22T09:51:52.626945Z,,
159,11,26,"Thanks for sharing, this helps a lot.",,0,2026-01-31T00:36:52.626956Z,,
160,31,48,저도 비슷하게 느꼈어요.,,0,2026-01-22T22:59:52.626968Z,,
